id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,11533.6,1.0,7480220000.0,194116104863,16830487.0,16830487.0,21000000.0,0.07,3.81,-8.62,1517106268
ethereum,Ethereum,ETH,2,1121.64,0.0980372,3016010000.0,109083008023,97253136.0,97253136.0,,0.19,6.62,-0.78,1517106253
ripple,Ripple,XRP,3,1.25405,0.00010961,626740000.0,48580822042.0,38739142811.0,99993093880.0,100000000000,0.15,4.01,-17.93,1517106241
bitcoin-cash,Bitcoin Cash,BCH,4,1643.05,0.143611,436691000.0,27826037580.0,16935600.0,16935600.0,21000000.0,-0.12,2.56,-16.17,1517106257
cardano,Cardano,ADA,5,0.649025,0.00005673,287234000.0,16827316956.0,25927070538.0,31112483745.0,45000000000.0,1.08,6.27,-4.85,1517106260
stellar,Stellar,XLM,6,0.630405,0.00005510,179684000.0,11264114291.0,17868059883.0,103629819514,,0.59,0.91,21.78,1517106244
litecoin,Litecoin,LTC,7,181.93,0.0159017,288510000.0,9997614418.0,54953083.0,54953083.0,84000000.0,-0.14,3.38,-11.43,1517106241
eos,EOS,EOS,8,14.7133,0.00128602,584768000.0,9290946977.0,631465883.0,900000000.0,1000000000.0,0.23,3.19,1.82,1517106256
nem,NEM,XEM,9,1.02347,0.00008946,232331000.0,9211229999.0,8999999999.0,8999999999.0,,-0.57,22.59,-12.02,1517106246
neo,NEO,NEO,10,141.456,0.0123641,197932000.0,9194640000.0,65000000.0,100000000.0,,-0.11,3.5,-2.96,1517106251
iota,IOTA,MIOTA,11,2.46951,0.00021585,40695600.0,6864077829.0,2779530283.0,2779530283.0,2779530283.0,-0.05,2.84,-15.48,1517106255
dash,Dash,DASH,12,773.109,0.067574,117916000.0,6064369857.0,7844133.0,7844133.0,18900000.0,-1.12,0.28,-14.72,1517106242
monero,Monero,XMR,13,329.666,0.0288146,65011300.0,5160417767.0,15653473.0,15653473.0,,0.83,2.73,-12.34,1517106244
tron,TRON,TRX,14,0.0686412,0.00000600,276551000.0,4513034829.0,65748192475.0,100000000000,,0.05,4.69,-17.46,1517106260
bitcoin-gold,Bitcoin Gold,BTG,15,193.036,0.0168724,90390400.0,3241011431.0,16789674.0,16889674.0,21000000.0,1.18,7.25,-13.75,1517106262
vechain,VeChain,VEN,16,6.93267,0.00060595,117997000.0,3174842048.0,457953725.0,873378637.0,,-0.36,-5.0,-10.59,1517106258
icon,ICON,ICX,17,8.10606,0.00070851,45971100.0,3080667605.0,380045004.0,400230000.0,,1.42,2.39,-18.27,1517106262
qtum,Qtum,QTUM,18,40.6105,0.00354958,226166000.0,2998647644.0,73839220.0,100339220.0,,0.32,3.37,-15.29,1517106256
ethereum-classic,Ethereum Classic,ETC,19,29.9779,0.00262023,124787000.0,2980854225.0,99435058.0,99435058.0,,0.22,5.07,-11.67,1517106250
lisk,Lisk,LSK,20,23.4014,0.00204541,53059300.0,2748625852.0,117455616.0,117455616.0,,-0.5,10.53,-5.56,1517106249
